sample	Transcript_ID_clean	gene_id	gene_name	TPM	Amyloid_Index_max	strict_burden	strict_burden_rank_desc	Consensus_collapsed	n_protein_variants	Group	raw_Group	subject	time	batch
SRR32060276	ENST00000374213	ENSG00000169442.9	CD52	252.74000549316406	1.1999380977653764	303.27236142067807	2.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000374468	ENSG00000189266.13	PNRC2	8.3539400100708	-1.518795248925298	-12.687924397102488	112.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000374524	ENSG00000057757.10	PITHD1	46.42150115966797	-0.17050190990295908	-7.914954608285818	106.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000375453	ENSG00000159339.13	PADI4	3.3403499126434326	0.5011970176298478	1.674173414057011	18.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000378513	ENSG00000157916.20	RER1	10.671500205993652	-0.23973604349939862	-2.5583432375879354	84.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000379666	ENSG00000243147.8	MRPL33	98.04129791259766	-0.47604781366102744	-46.672345519781565	128.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000388718	ENSG00000143520.6	FLG2	2.00504994392395	-0.8215499777229816	-1.6472487367641866	74.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000391836	ENSG00000185420.19	SMYD3	2.4181299209594727	-0.2648777248594036	-0.6405087518781946	53.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000391854	ENSG00000168243.11	GNG4	5.297540187835693	0.2792483753748079	1.479329490935872	22.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000396290	ENSG00000115738.10	ID2	261.4100036621094	0.20628638828001958	53.92532551572324	4.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000402414	ENSG00000183891.6	TTC32	3.8024699687957764	-0.945411979957868	-3.594900661929547	86.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000407131	ENSG00000143919.16	CAMKMT	1.9482899904251099	-0.07139486972369699	-0.13909791005038358	47.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000408941	ENSG00000116171.19	SCP2	24.64739990234375	-0.09147465521462364	-2.254612408003843	83.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000409566	ENSG00000152147.11	GEMIN6	1.868630051612854	0.8727664353611571	1.6308775891548855	19.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000409800	ENSG00000180398.13	MCFD2	6.846859931945801	-1.225214289593048	-8.38887062746208	108.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000412438	ENSG00000180398.13	MCFD2	2.737799882888794	-0.7812525794885463	-2.13891322063031	81.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000416160	ENSG00000198399.16	ITSN2	5.3539299964904785	0.26167227343608446	1.4009750339993112	23.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000416415	ENSG00000143499.14	SMYD2	14.821100234985352	0.08932647924365926	1.3239167025086125	25.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000416915	ENSG00000116750.14	UCHL5	10.779999732971191	0.48157572183022346	5.191386152735218	15.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000417056	ENSG00000135842.17	NIBAN1	7.544939994812012	0.6986587910876527	5.271338655604241	14.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000420191	ENSG00000163793.13	DNAJC5G	3.1144700050354004	0.49218062802496343	1.5328818030432343	21.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000423313	ENSG00000235750.10	KIAA0040	2.0480899810791016	0.04370964374088175	0.08952128342223678	41.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000423362	ENSG00000171161.13	ZNF672	2.5254299640655518	-0.2880625572544238	-0.7274818136156704	58.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000424110	ENSG00000055917.17	PUM2	3.6830101013183594	-1.4350556429881798	-5.285324429079379	96.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000431028	ENSG00000115207.15	GTF3C2	4.046999931335449	-0.0820169978288579	-0.3319227845817276	50.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000433615	ENSG00000143569.20	UBAP2L	6.032110214233398	0.009890308566838257	0.059659431327945135	43.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000436748	ENSG00000143401.15	ANP32E	4.022970199584961	-2.8460827601136205	-11.44970612948961	110.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000441005	ENSG00000171055.15	FEZ2	9.513899803161621	-0.06925042765814507	-0.6588416300656844	54.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000443059	ENSG00000116260.17	QSOX1	22.88089942932129	-0.7010881020536115	-16.041526354182427	117.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000444533	ENSG00000157216.17	SSBP3	1.1800600290298462	-1.5370666230825916	-1.8138308838556507	78.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000444761	ENSG00000180398.13	MCFD2	8.959500312805176	-0.697632840856443	-6.250441655876464	101.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000445019	ENSG00000198746.13	GPATCH3	5.733670234680176	-1.3950785027983752	-7.998920086537228	107.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000445590	ENSG00000197520.11	FAM177B	1.297029972076416	-0.5287333980104958	-0.6857830644574219	56.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000445969	ENSG00000117226.13	GBP3	28.851299285888672	-0.7668125414272173	-22.123538128889553	123.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000446647	ENSG00000009780.16	FAM76A	25.63800048828125	0.2537626704809567	6.505967469698321	13.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000452560	ENSG00000118197.14	DDX59	3.894890069961548	0.79614853616689	3.100911027730842	16.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000453615	ENSG00000159352.16	PSMD4	55.21030044555664	-1.2260132515515516	-67.68855996839497	130.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000460369	ENSG00000117394.24	SLC2A1	12.456199645996094	-0.08351487014085655	-1.0402778958839471	64.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000460397	ENSG00000180999.11	C1orf105	3.2395598888397217	-1.2083775197242541	-3.914611343474323	88.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000461096	ENSG00000197780.11	TAF13	11.84119987487793	-0.06786678305529195	-0.8036241430226907	60.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000461384	ENSG00000117226.13	GBP3	4.501319885253906	0.028064960096301682	0.12632936296034014	40.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000462250	ENSG00000125459.18	MSTO1	46.65739822387695	-0.13362248483445055	-6.234477486584918	100.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000462462	ENSG00000175279.22	CENPS	8.85198974609375	-1.221931605592878	-10.816526043136028	109.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000467404	ENSG00000171735.21	CAMTA1	14.727800369262695	-0.9683397405894933	-14.261514389025683	114.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000468465	ENSG00000158874.12	APOA2	59.69200134277344	0.0362610058567423	2.164492010290977	17.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000470357	ENSG00000049245.13	VAMP3	11.838399887084961	1.0413376560611243	12.32777158993133	11.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000470626	ENSG00000134744.14	TUT4	6.366610050201416	-0.9207830376214428	-5.862266541375666	98.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000470914	ENSG00000134330.19	IAH1	53.49980163574219	-0.0832512768204035	-4.453926795813849	92.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000471668	ENSG00000186487.21	MYT1L	5.083580017089844	-0.8190713677174012	-4.163814837498628	91.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000472531	ENSG00000196418.13	ZNF124	1.935539960861206	-0.9906163504477636	-1.9173775321741353	79.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000472944	ENSG00000134717.18	BTF3L4	4.319809913635254	-0.9482986920311977	-4.096470090923712	90.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000473505	ENSG00000117298.16	ECE1	3.1389598846435547	-0.15524843040273334	-0.48731859518805676	52.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000475435	ENSG00000132879.14	FBXO44	15.5733003616333	-0.4903672612752927	-7.636636647351647	104.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000477163	ENSG00000132716.19	DCAF8	120.40599822998047	-0.5149751102192861	-62.00609220954736	129.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000477431	ENSG00000009790.15	TRAF3IP3	12.311100006103516	-1.0089927036725403	-12.421810080341414	111.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000478442	ENSG00000152061.24	RABGAP1L	2.1049599647521973	0.041675687482513026	0.08772565365421421	42.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000479111	ENSG00000162623.16	TYW3	6.720379829406738	0.06890419360202835	0.4630623528446081	32.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000479764	ENSG00000143450.19	OAZ3	2.204119920730591	-0.12575856513374012	-0.2771869586137721	49.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000483260	ENSG00000134248.14	LAMTOR5	16.61709976196289	0.7778705656856924	12.925952791893657	9.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000483273	ENSG00000233954.7	UQCRHL	10.800299644470215	-1.9160202483854043	-20.693592807434616	121.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000485079	ENSG00000258465.8	ENSG00000258465	1.3123699426651	-0.9025280386848152	-1.1844506703824362	67.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000485114	ENSG00000152061.24	RABGAP1L	4.007450103759766	-1.2911909541400381	-5.174383323142167	95.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000485118	ENSG00000185499.17	MUC1	2.7366299629211426	0.07380208549297607	0.20196899848614608	38.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000486046	ENSG00000142733.18	MAP3K6	3.477570056915283	-0.1999167704708417	-0.6952245748646045	57.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000487271	ENSG00000009790.15	TRAF3IP3	19.481599807739258	-0.7965574979149455	-15.518214398233066	116.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000488540	ENSG00000162441.12	LZIC	5.822740077972412	0.00031678103322404507	0.0018445336180951575	44.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000489742	ENSG00000143933.20	CALM2	2.3260600566864014	-1.598111532993872	-3.717303403026918	87.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000491219	ENSG00000117020.19	AKT3	1.0570800304412842	-0.05927404715536875	-0.0626574115713753	45.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000491356	ENSG00000196418.13	ZNF124	18.104700088500977	-1.0006304957031245	-18.11611502411313	118.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000492007	ENSG00000176261.16	ZBTB8OS	3.251009941101074	-0.53059137176313	-1.7249578242643915	75.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000503968	ENSG00000163349.22	HIPK1	4.593009948730469	0.08546445051545179	0.3925390714802529	36.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000509720	ENSG00000160087.21	UBE2J2	6.836420059204102	-0.1795504564503834	-1.2274823421166534	69.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000514642	ENSG00000186409.19	CCDC30	4.734280109405518	-0.05697914382004954	-0.2697552272382168	48.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000520296	ENSG00000235098.9	ANKRD65	1.0475599765777588	-1.1899805824898675	-1.2465760311210734	70.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000526188	ENSG00000143294.15	PRCC	1.480239987373352	-1.2134657437606138	-1.796220517222206	77.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000527693	ENSG00000203705.11	TATDN3	15.20359992980957	-0.22704664774749964	-3.4519263977573837	85.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000529027	ENSG00000116497.18	S100PBP	15.743599891662598	-1.9342061374275474	-30.451367535657468	125.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000529145	ENSG00000152061.24	RABGAP1L	4.479939937591553	0.35996977977341393	1.612642992732953	20.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000529489	ENSG00000116977.19	LGALS8	48.843101501464844	0.708383075599755	34.599626463438675	5.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000530076	ENSG00000131238.18	PPT1	7.049709796905518	-0.11598292833422337	-0.817645986151565	62.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000534437	ENSG00000143401.15	ANP32E	10.947699546813965	-4.013464496811517	-43.93820345289738	127.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000537914	ENSG00000196187.12	TMEM63A	4.992489814758301	-0.4515435620972834	-2.25432663469037	82.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000543766	ENSG00000048707.15	VPS13D	3.982450008392334	0.20815205674889645	0.8289551601465243	28.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000555188	ENSG00000169291.10	SHE	2.7929799556732178	-0.3695000510581773	-1.0320062362257196	63.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000572793	ENSG00000266028.8	SRGAP2	127.33000183105469	0.22668274341917324	28.863514134631828	6.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000579793	ENSG00000264343.7	NOTCH2NLA	6.046060085296631	-0.351230840091597	-2.123562763003008	80.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000583931	ENSG00000143401.15	ANP32E	5.3425397872924805	-2.4122663149082166	-12.88762876494256	113.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000584793	ENSG00000266338.7	NBPF15	1.2934399843215942	-0.9036883691289747	-1.168866669997788	66.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000594456	ENSG00000143442.24	POGZ	7.649209976196289	-0.18234839834756933	-1.3948211877836423	72.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000602858	ENSG00000134248.14	LAMTOR5	27.90850067138672	0.4858243712326152	13.558629790721472	8.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000607379	ENSG00000196550.11	FAM72A	2.26596999168396	0.5492217002185557	1.244519891476891	26.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000612542	ENSG00000120948.19	TARDBP	3.2032101154327393	0.10095019267141762	0.3233646783199689	37.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000619513	ENSG00000235750.10	KIAA0040	46.66279983520508	-0.3075718687092151	-14.35216454451808	115.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000621074	ENSG00000269713.9	NBPF9	28.643800735473633	-0.6991533131401159	-20.02640818513168	120.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000629042	ENSG00000143401.15	ANP32E	4.5296502113342285	-4.597651394642916	-20.825752611385393	122.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000648702	ENSG00000173436.15	MICOS10	24.127099990844727	-0.2622238868390889	-6.326701937754651	102.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000649163	ENSG00000143479.18	DYRK3	2.623080015182495	-0.2536555950836166	-0.6653589222030579	55.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000651761	ENSG00000143742.14	SRP9	5.306270122528076	-0.32757962955877895	-1.7382260010765638	76.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000652302	ENSG00000134250.21	NOTCH2	2.829669952392578	0.15920399472340724	0.45049476016969203	33.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000667629	ENSG00000135766.9	EGLN1	39.588600158691406	-0.14458257774902455	-5.723821860419046	97.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000670292	ENSG00000186409.19	CCDC30	1.3470499515533447	0.10099271940790115	0.13604223778565377	39.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000674278	ENSG00000077549.19	CAPZB	1.3828099966049194	-1.0730444153331926	-1.4838165443238198	73.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000677312	ENSG00000171960.12	PPIH	11.493200302124023	0.11863475984083904	1.3634930576451423	24.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000686161	ENSG00000174021.12	GNG5	2.239000082015991	-0.609747512231765	-1.3652247298959685	71.0	Amyloid	2.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000692048	ENSG00000197780.11	TAF13	10.0177001953125	-0.7864840395660789	-7.878761316771273	105.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000697181	ENSG00000143669.16	LYST	5.706210136413574	-0.20860073724334835	-1.1903196413213388	68.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000697182	ENSG00000143669.16	LYST	1.482800006866455	0.28509064668159756	0.422732412857035	35.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060276	ENST00000697183	ENSG00000143669.16	LYST	24.09429931640625	-0.017235856282280294	-0.41528588023982244	51.0	Amyloid	1.0	TOL	chili	N132	BC	4
SRR32060306	ENST00000008440	ENSG00000010072.16	SPRTN	1.5193300247192383	0.4082740993089377	0.6203030973952731	282.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000037869	ENSG00000035141.10	FAM136A	1.3229299783706665	-0.002356076943682317	-0.003116924820145274	377.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000202017	ENSG00000088356.6	PDRG1	7.218830108642578	0.12457679267880979	0.8992987018279164	251.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000215570	ENSG00000099800.8	TIMM13	29.167699813842773	-0.2942694866419989	-8.58316405074744	892.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000215886	ENSG00000100079.7	LGALS2	15.376299858093262	-0.15266893105077992	-2.347483262851357	676.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000221859	ENSG00000105258.9	POLR2I	23.560800552368164	-0.6733338869824627	-15.86428541634461	966.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000222190	ENSG00000105583.11	WDR83OS	11.976699829101562	0.09102248198624144	1.0901489444490178	234.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000225655	ENSG00000108518.8	PFN1	41.74580001831055	0.29164535574282097	12.174968697108842	61.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000227667	ENSG00000110245.12	APOC3	25.33930015563965	0.44658001626056815	11.316025075536972	65.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000229307	ENSG00000111704.11	NANOG	2.8480899333953857	-0.23835316539786922	-0.6788512509625967	493.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000236850	ENSG00000118137.10	APOA1	5.966700077056885	0.17009782433175036	1.0149227015474633	243.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000237014	ENSG00000118271.12	TTR	114.79900360107422	0.43764809500713503	50.24156523472737	14.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000237889	ENSG00000119013.10	NDUFB3	27.86639976501465	-0.3624392336401382	-10.099876575141636	923.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000238618	ENSG00000119640.9	ACYP1	1.6865299940109253	-0.12971217808784105	-0.21876347893363066	417.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000238892	ENSG00000119878.7	CRIPT	9.85612964630127	-1.2676476113115833	-12.494099202911086	949.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000240652	ENSG00000121351.8	IAPP	1.462030053138733	0.32649776247411255	0.47734954101970417	304.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000242465	ENSG00000122862.6	SRGN	213.5050048828125	0.028115370335140423	6.002772280686238	94.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000242719	ENSG00000123091.5	RNF11	39.95090103149414	-0.5866310607129559	-23.43643944854373	1002.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000243924	ENSG00000124102.5	PI3	9.583749771118164	0.5472073577954545	5.244298390026362	102.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000243997	ENSG00000124172.10	ATP5F1E	206.3350067138672	-0.9807255355627127	-202.35800996479333	1073.0	Amyloid	1.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000244221	ENSG00000124374.9	PAIP2B	3.2824599742889404	-1.9763012705051888	-6.487129817569662	847.0	Amyloid	2.0	TOL	chili	N101	BC	4
SRR32060306	ENST00000248566	ENSG00000127922.10	SEM1	5.949699878692627	-2.7484637642574725	-16.352534524793764	971.0	Amyloid	2.0	TOL	chili	N101	BC	4
