Transcript_ID_clean	gene_name	gene_id	biotype	mean_TPM_AC	mean_TPM_TOL	mean_strict_contribution_AC	mean_strict_contribution_TOL	Amyloid_Index_max	n_samples_observed	analysis_set	delta_mean_strict_contribution_TOL_minus_AC	delta_mean_TPM_TOL_minus_AC
ENST00000602651	ZHX1	ENSG00000165156.15	protein_coding	15.0477	2.16181	-60.66778818636362	-8.71576566701394	-4.031698430690548	2	all_BC_samples	51.95202251934968	-12.88589
ENST00000490612	GIGYF2	ENSG00000204120.16	protein_coding	71.3624	20.0816	-69.85040281578792	-19.65611960485799	-0.9788124628080525	3	all_BC_samples	50.194283210929925	-51.280796
ENST00000699926	NOP10	ENSG00000182117.7	protein_coding	166.67676	125.863106	-201.97631531800005	-152.51896584431645	-1.2117845776097487	8	all_BC_samples	49.45734947368359	-40.813652
ENST00000538098	WDR74	ENSG00000133316.16	protein_coding	157.49396	46.78917	-68.26008200749035	-20.27907895422447	-0.43341397923597674	7	all_BC_samples	47.98100305326588	-110.70479
ENST00000590618	COX6B1	ENSG00000126267.11	protein_coding	53.863514	18.42575	-72.22047602354489	-24.70534025062409	-1.3408051298346078	6	all_BC_samples	47.5151357729208	-35.437763
ENST00000361871	MSRB1	ENSG00000198736.13	protein_coding	277.2261	194.77533	-143.3279708001939	-100.7002957985921	-0.5170074515944056	8	all_BC_samples	42.6276750016018	-82.450775
ENST00000416690	GTF3C3	ENSG00000119041.11	protein_coding	41.489223	74.98355	51.240060445970876	92.60625480641093	1.2350209441649507	7	all_BC_samples	41.366194360440055	33.494328
ENST00000321777	RBIS	ENSG00000176731.12	protein_coding	27.783825	11.1231	-67.75630954603898	-27.12586383467663	-2.4386963301583244	4	all_BC_samples	40.63044571136235	-16.660725
ENST00000674129	SNCA	ENSG00000145335.17	protein_coding	237.65875	189.8732	-197.15646218016298	-157.51462268493682	-0.8295779830702795	8	all_BC_samples	39.64183949522615	-47.785553
ENST00000593087	UBL5	ENSG00000198258.11	protein_coding	108.39977	62.281864	-91.96556637308343	-52.83947882597264	-0.8483926728130434	6	all_BC_samples	39.12608754711079	-46.11791
ENST00000615697	RBIS	ENSG00000176731.12	protein_coding	40.8001	8.31045	-44.98166479267494	-9.162180699652012	-1.102489124671297	3	all_BC_samples	35.81948409302293	-32.489647
ENST00000649813	COX6B1	ENSG00000126267.11	protein_coding	362.8687	263.60165	-126.29870774690761	-91.74818749636371	-0.34805617698210145	7	all_BC_samples	34.5505202505439	-99.26706
ENST00000553876	RBM23	ENSG00000100461.18	protein_coding	75.235535	51.351173	-105.82188063040577	-72.22754464550997	-1.4065412307053609	7	all_BC_samples	33.59433598489581	-23.884361
ENST00000507606	STMP1	ENSG00000243317.8	protein_coding	122.8273	70.2964	-28.67149727322299	4.745710065449233	0.06750999954401038	3	all_BC_samples	33.41720733867222	-52.5309
ENST00000522352	EIF3E	ENSG00000104408.11	protein_coding	277.28467	192.4971	-107.81960735657744	-74.85073617047055	-0.3888408415731571	8	all_BC_samples	32.96887118610688	-84.78757
ENST00000545199	MGP	ENSG00000111341.10	protein_coding	52.6438	14.227	-42.33130910042402	-11.440047222842345	-0.8041081768933529	2	all_BC_samples	30.891261877581677	-38.416798
ENST00000540349	ANKRD49	ENSG00000168876.9	protein_coding	296.275	170.29308	-123.42329112983789	-92.96311536422611	-0.30510797975449455	6	all_BC_samples	30.46017576561178	-125.98192
ENST00000349807	MAL	ENSG00000172005.11	protein_coding	66.07385	89.86302	83.07758808211358	112.98877562808084	1.2573444394019755	8	all_BC_samples	29.911187545967266	23.78917
ENST00000590515	BCL2	ENSG00000171791.14	protein_coding	20.184525	51.508102	18.554952218184702	47.34965638552501	0.9192662193978656	8	all_BC_samples	28.794704167340306	31.323578
ENST00000515828	ANKRD13D	ENSG00000172932.16	protein_coding	38.585297	16.570868	-49.53431895375153	-21.273039676692008	-1.2837613984557767	7	all_BC_samples	28.261279277059522	-22.01443
ENST00000366089	SENP7	ENSG00000138468.16	protein_coding	85.62263	113.23375	85.74496325353981	113.39552721544553	1.0014287067828196	7	all_BC_samples	27.650563961905718	27.611122
ENST00000376086	LST1	ENSG00000204482.11	protein_coding	63.2433	24.169	-43.794293995120206	-16.736386236579094	-0.6924732427225233	2	all_BC_samples	27.057907758541113	-39.074303
ENST00000558049	MEF2A	ENSG00000068305.19	protein_coding	29.727583	11.710645	-44.01559097014695	-17.339147557132833	-1.480631352523774	6	all_BC_samples	26.67644341301412	-18.016937
ENST00000650237	ITM2B	ENSG00000136156.15	protein_coding	2085.6052	2415.1665	166.60641087707938	192.933106629912	0.07988397092777687	7	all_BC_samples	26.32669575283262	329.56128
ENST00000513438	POLR2J3	ENSG00000285437.2	protein_coding	32.737965	55.398705	21.929664495639617	47.75511593891829	0.862025897542684	7	all_BC_samples	25.82545144327867	22.66074
ENST00000237014	TTR	ENSG00000118271.12	protein_coding	1.81979	58.807873	0.7964276293005818	25.737153072808898	0.43764809500713503	3	all_BC_samples	24.940725443508317	56.988083
ENST00000582475	SNRPD1	ENSG00000167088.11	protein_coding	42.857525	27.797235	-70.85254157888453	-45.95470098788113	-1.6532112477801122	8	all_BC_samples	24.897840591003394	-15.060289
ENST00000424358	MMP24OS	ENSG00000126005.17	protein_coding	107.944496	88.4346	-137.51228199326977	-112.6582981375307	-1.2739165109592907	8	all_BC_samples	24.85398385573906	-19.509895
ENST00000221859	POLR2I	ENSG00000105258.9	protein_coding	55.046852	19.189291	-37.064909935386275	-12.920799523131784	-0.6733338869824627	7	all_BC_samples	24.14411041225449	-35.85756
ENST00000552445	LARP4	ENSG00000161813.23	protein_coding	20.771978	5.477896	-31.490943835356173	-8.179633007408109	-1.4325277440775708	6	all_BC_samples	23.311310827948063	-15.294083
ENST00000519472	CLU	ENSG00000120885.22	protein_coding	103.13495	132.44373	88.1830036186291	110.39285250924026	0.8550254115920843	5	all_BC_samples	22.209848890611156	29.308777
ENST00000514816	PAIP1	ENSG00000172239.14	protein_coding	11.4801	1.33655	-24.9394588807302	-2.9035317318896863	-2.172407869283335	2	all_BC_samples	22.035927148840514	-10.14355
ENST00000647835	COX7B	ENSG00000131174.7	protein_coding	63.88257	32.0013	-44.13366803978125	-22.10829732320407	-0.6908562283795103	5	all_BC_samples	22.02537071657718	-31.881268
ENST00000397797	HBA1	ENSG00000206172.8	protein_coding	32939.953	38603.1	11008.208309981172	12900.777195460618	0.3341901879490056	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	1892.5688854794462	5663.1484
ENST00000368738	S100A9	ENSG00000163220.11	protein_coding	7514.4478	5073.165	-2616.1769012347563	-1809.0946881364969	-0.34815292778808093	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	807.0822130982594	-2441.2827
ENST00000261267	LYZ	ENSG00000090382.7	protein_coding	1345.8538	1919.77	475.95351165500665	716.8890981663388	0.39889919460335677	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	240.9355865113322	573.91626
ENST00000549017	MYL6	ENSG00000092841.19	protein_coding	391.83923	49.65586	-268.63437882065364	-34.04271269235912	-0.6855729224196472	6	coverage_QC_protein_coding_annotation_fraction_ge_0_5	234.59166612829452	-342.18338
ENST00000509877	RPL37	ENSG00000145592.14	protein_coding	443.701	345.59027	-1006.0186383597917	-783.5687576294503	-2.267334638697303	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	222.44988073034142	-98.11072
ENST00000553981	SLIRP	ENSG00000119705.10	protein_coding	117.769	15.2295	-131.63671374724055	-17.022827362920466	-1.1177535419801867	2	coverage_QC_protein_coding_annotation_fraction_ge_0_5	114.61388638432008	-102.5395
ENST00000532556	RSF1	ENSG00000048649.14	protein_coding	71.3938	6.65178	-94.15528328438832	-5.6660976646379515	-0.8518167400601622	2	coverage_QC_protein_coding_annotation_fraction_ge_0_5	88.48918561975037	-64.74202
ENST00000634739	PPP1R12A	ENSG00000058272.19	protein_coding	217.278	198.7027	-233.04822899401773	-146.44140439317036	-0.4957073701327605	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	86.60682460084737	-18.575302
ENST00000646110	IKZF1	ENSG00000185811.21	protein_coding	60.4936	8.18607	-95.04780315522517	-12.861988350356551	-1.5712042567648183	4	coverage_QC_protein_coding_annotation_fraction_ge_0_5	82.18581480486861	-52.30753
ENST00000519742	CLU	ENSG00000120885.22	protein_coding	112.80215	290.636	52.04316962294182	134.08980319408562	0.46136682827259945	3	coverage_QC_protein_coding_annotation_fraction_ge_0_5	82.0466335711438	177.83383
ENST00000311672	UQCRH	ENSG00000173660.12	protein_coding	90.83943	45.582726	-167.02434827182074	-85.34031766752256	-1.8161426049719036	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	81.68403060429819	-45.256706
ENST00000302312	AHSP	ENSG00000169877.10	protein_coding	314.38428	74.31564	-106.54596158438163	-25.185841774965887	-0.3389036148648012	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	81.36011980941575	-240.06863
ENST00000243997	ATP5F1E	ENSG00000124172.10	protein_coding	350.08725	272.68927	-343.33950551049236	-267.43331167625485	-0.9807255355627127	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	75.90619383423751	-77.39798
ENST00000535212	CCDC91	ENSG00000123106.11	protein_coding	113.619	205.21326	-61.13417359747041	8.568246434770996	0.04175288897362996	4	coverage_QC_protein_coding_annotation_fraction_ge_0_5	69.7024200322414	91.59425
ENST00000261811	CYSTM1	ENSG00000120306.11	protein_coding	129.21548	55.34375	-115.7111433961354	-49.55976595370652	-0.8954898267591348	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	66.15137744242888	-73.871735
ENST00000620047	PPIA	ENSG00000196262.15	protein_coding	124.24745	28.855967	-83.38167768855206	-19.365054946706227	-0.671093638159069	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	64.01662274184584	-95.39149
ENST00000311534	ISCA1	ENSG00000135070.15	protein_coding	66.9672	21.243828	-78.84617307494446	-22.574667683707155	0.5753544137398926	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	56.271505391237305	-45.723373
ENST00000602651	ZHX1	ENSG00000165156.15	protein_coding	15.0477	2.16181	-60.66778818636362	-8.71576566701394	-4.031698430690548	2	coverage_QC_protein_coding_annotation_fraction_ge_0_5	51.95202251934968	-12.88589
ENST00000490612	GIGYF2	ENSG00000204120.16	protein_coding	71.3624	20.0816	-69.85040281578792	-19.65611960485799	-0.9788124628080525	3	coverage_QC_protein_coding_annotation_fraction_ge_0_5	50.194283210929925	-51.280796
ENST00000699926	NOP10	ENSG00000182117.7	protein_coding	166.67676	125.863106	-201.97631531800005	-152.51896584431645	-1.2117845776097487	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	49.45734947368359	-40.813652
ENST00000538098	WDR74	ENSG00000133316.16	protein_coding	157.49396	46.78917	-68.26008200749035	-20.27907895422447	-0.43341397923597674	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	47.98100305326588	-110.70479
ENST00000590618	COX6B1	ENSG00000126267.11	protein_coding	53.863514	18.42575	-72.22047602354489	-24.70534025062409	-1.3408051298346078	6	coverage_QC_protein_coding_annotation_fraction_ge_0_5	47.5151357729208	-35.437763
ENST00000361871	MSRB1	ENSG00000198736.13	protein_coding	277.2261	194.77533	-143.3279708001939	-100.7002957985921	-0.5170074515944056	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	42.6276750016018	-82.450775
ENST00000416690	GTF3C3	ENSG00000119041.11	protein_coding	41.489223	74.98355	51.240060445970876	92.60625480641093	1.2350209441649507	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	41.366194360440055	33.494328
ENST00000321777	RBIS	ENSG00000176731.12	protein_coding	27.783825	11.1231	-67.75630954603898	-27.12586383467663	-2.4386963301583244	4	coverage_QC_protein_coding_annotation_fraction_ge_0_5	40.63044571136235	-16.660725
ENST00000674129	SNCA	ENSG00000145335.17	protein_coding	237.65875	189.8732	-197.15646218016298	-157.51462268493682	-0.8295779830702795	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	39.64183949522615	-47.785553
ENST00000593087	UBL5	ENSG00000198258.11	protein_coding	108.39977	62.281864	-91.96556637308343	-52.83947882597264	-0.8483926728130434	6	coverage_QC_protein_coding_annotation_fraction_ge_0_5	39.12608754711079	-46.11791
ENST00000615697	RBIS	ENSG00000176731.12	protein_coding	40.8001	8.31045	-44.98166479267494	-9.162180699652012	-1.102489124671297	3	coverage_QC_protein_coding_annotation_fraction_ge_0_5	35.81948409302293	-32.489647
ENST00000649813	COX6B1	ENSG00000126267.11	protein_coding	362.8687	263.60165	-126.29870774690761	-91.74818749636371	-0.34805617698210145	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	34.5505202505439	-99.26706
ENST00000553876	RBM23	ENSG00000100461.18	protein_coding	75.235535	51.351173	-105.82188063040577	-72.22754464550997	-1.4065412307053609	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	33.59433598489581	-23.884361
ENST00000507606	STMP1	ENSG00000243317.8	protein_coding	122.8273	70.2964	-28.67149727322299	4.745710065449233	0.06750999954401038	3	coverage_QC_protein_coding_annotation_fraction_ge_0_5	33.41720733867222	-52.5309
ENST00000522352	EIF3E	ENSG00000104408.11	protein_coding	277.28467	192.4971	-107.81960735657744	-74.85073617047055	-0.3888408415731571	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	32.96887118610688	-84.78757
ENST00000545199	MGP	ENSG00000111341.10	protein_coding	52.6438	14.227	-42.33130910042402	-11.440047222842345	-0.8041081768933529	2	coverage_QC_protein_coding_annotation_fraction_ge_0_5	30.891261877581677	-38.416798
ENST00000540349	ANKRD49	ENSG00000168876.9	protein_coding	296.275	170.29308	-123.42329112983789	-92.96311536422611	-0.30510797975449455	6	coverage_QC_protein_coding_annotation_fraction_ge_0_5	30.46017576561178	-125.98192
ENST00000349807	MAL	ENSG00000172005.11	protein_coding	66.07385	89.86302	83.07758808211358	112.98877562808084	1.2573444394019755	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	29.911187545967266	23.78917
ENST00000590515	BCL2	ENSG00000171791.14	protein_coding	20.184525	51.508102	18.554952218184702	47.34965638552501	0.9192662193978656	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	28.794704167340306	31.323578
ENST00000515828	ANKRD13D	ENSG00000172932.16	protein_coding	38.585297	16.570868	-49.53431895375153	-21.273039676692008	-1.2837613984557767	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	28.261279277059522	-22.01443
ENST00000366089	SENP7	ENSG00000138468.16	protein_coding	85.62263	113.23375	85.74496325353981	113.39552721544553	1.0014287067828196	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	27.650563961905718	27.611122
ENST00000376086	LST1	ENSG00000204482.11	protein_coding	63.2433	24.169	-43.794293995120206	-16.736386236579094	-0.6924732427225233	2	coverage_QC_protein_coding_annotation_fraction_ge_0_5	27.057907758541113	-39.074303
ENST00000558049	MEF2A	ENSG00000068305.19	protein_coding	29.727583	11.710645	-44.01559097014695	-17.339147557132833	-1.480631352523774	6	coverage_QC_protein_coding_annotation_fraction_ge_0_5	26.67644341301412	-18.016937
ENST00000650237	ITM2B	ENSG00000136156.15	protein_coding	2085.6052	2415.1665	166.60641087707938	192.933106629912	0.07988397092777687	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	26.32669575283262	329.56128
ENST00000513438	POLR2J3	ENSG00000285437.2	protein_coding	32.737965	55.398705	21.929664495639617	47.75511593891829	0.862025897542684	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	25.82545144327867	22.66074
ENST00000237014	TTR	ENSG00000118271.12	protein_coding	1.81979	58.807873	0.7964276293005818	25.737153072808898	0.43764809500713503	3	coverage_QC_protein_coding_annotation_fraction_ge_0_5	24.940725443508317	56.988083
ENST00000582475	SNRPD1	ENSG00000167088.11	protein_coding	42.857525	27.797235	-70.85254157888453	-45.95470098788113	-1.6532112477801122	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	24.897840591003394	-15.060289
ENST00000424358	MMP24OS	ENSG00000126005.17	protein_coding	107.944496	88.4346	-137.51228199326977	-112.6582981375307	-1.2739165109592907	8	coverage_QC_protein_coding_annotation_fraction_ge_0_5	24.85398385573906	-19.509895
ENST00000221859	POLR2I	ENSG00000105258.9	protein_coding	55.046852	19.189291	-37.064909935386275	-12.920799523131784	-0.6733338869824627	7	coverage_QC_protein_coding_annotation_fraction_ge_0_5	24.14411041225449	-35.85756
ENST00000552445	LARP4	ENSG00000161813.23	protein_coding	20.771978	5.477896	-31.490943835356173	-8.179633007408109	-1.4325277440775708	6	coverage_QC_protein_coding_annotation_fraction_ge_0_5	23.311310827948063	-15.294083
ENST00000519472	CLU	ENSG00000120885.22	protein_coding	103.13495	132.44373	88.1830036186291	110.39285250924026	0.8550254115920843	5	coverage_QC_protein_coding_annotation_fraction_ge_0_5	22.209848890611156	29.308777
ENST00000514816	PAIP1	ENSG00000172239.14	protein_coding	11.4801	1.33655	-24.9394588807302	-2.9035317318896863	-2.172407869283335	2	coverage_QC_protein_coding_annotation_fraction_ge_0_5	22.035927148840514	-10.14355
ENST00000647835	COX7B	ENSG00000131174.7	protein_coding	63.88257	32.0013	-44.13366803978125	-22.10829732320407	-0.6908562283795103	5	coverage_QC_protein_coding_annotation_fraction_ge_0_5	22.02537071657718	-31.881268
