sample	STATUS	LEN_H1	LOSS	TRANSCRIPT_ID	LEN_H2	Transcript_ID_clean	Group	raw_Group	subject
SRR32060326	H2_TRUNCATED	108	-55	ENST00000498535.1	53	ENST00000498535	AC	control	N032
SRR32060326	H1_TRUNCATED	10	-45	ENST00000504358.1	55	ENST00000504358	AC	control	N032
SRR32060326	H2_TRUNCATED	37	-15	ENST00000505226.1	22	ENST00000505226	AC	control	N032
SRR32060326	H2_TRUNCATED	142	-83	ENST00000506955.5	59	ENST00000506955	AC	control	N032
SRR32060326	H2_TRUNCATED	45	-18	ENST00000509448.5	27	ENST00000509448	AC	control	N032
SRR32060326	H2_TRUNCATED	164	-120	ENST00000512818.5	44	ENST00000512818	AC	control	N032
SRR32060326	H1_TRUNCATED	61	-181	ENST00000520611.1	242	ENST00000520611	AC	control	N032
SRR32060326	H1_TRUNCATED	380	-181	ENST00000521866.5	561	ENST00000521866	AC	control	N032
SRR32060326	H2_TRUNCATED	43	-30	ENST00000521962.1	13	ENST00000521962	AC	control	N032
SRR32060326	H1_TRUNCATED	42	-17	ENST00000525141.1	59	ENST00000525141	AC	control	N032
SRR32060326	H1_TRUNCATED	68	-75	ENST00000526592.5	143	ENST00000526592	AC	control	N032
SRR32060326	H1_TRUNCATED	25	-24	ENST00000527133.2	49	ENST00000527133	AC	control	N032
SRR32060326	H1_TRUNCATED	68	-36	ENST00000528021.6	104	ENST00000528021	AC	control	N032
SRR32060326	H1_TRUNCATED	7	-30	ENST00000529790.5	37	ENST00000529790	AC	control	N032
SRR32060326	H1_TRUNCATED	5	-55	ENST00000531384.1	60	ENST00000531384	AC	control	N032
SRR32060326	H2_TRUNCATED	43	-36	ENST00000532011.5	7	ENST00000532011	AC	control	N032
SRR32060326	H1_TRUNCATED	27	-34	ENST00000532693.5	61	ENST00000532693	AC	control	N032
SRR32060326	H1_TRUNCATED	7	-27	ENST00000533172.5	34	ENST00000533172	AC	control	N032
SRR32060326	H2_TRUNCATED	125	-89	ENST00000533422.5	36	ENST00000533422	AC	control	N032
SRR32060326	H2_TRUNCATED	186	-138	ENST00000534762.5	48	ENST00000534762	AC	control	N032
SRR32060326	H1_TRUNCATED	119	-30	ENST00000543966.5	149	ENST00000543966	AC	control	N032
SRR32060326	H2_TRUNCATED	306	-88	ENST00000557742.1	218	ENST00000557742	AC	control	N032
SRR32060326	H2_TRUNCATED	46	-38	ENST00000557826.5	8	ENST00000557826	AC	control	N032
SRR32060326	H2_TRUNCATED	166	-60	ENST00000557852.2	106	ENST00000557852	AC	control	N032
SRR32060326	H2_TRUNCATED	139	-80	ENST00000557985.2	59	ENST00000557985	AC	control	N032
SRR32060326	H2_TRUNCATED	38	-20	ENST00000558049.5	18	ENST00000558049	AC	control	N032
SRR32060326	H2_TRUNCATED	93	-85	ENST00000558166.2	8	ENST00000558166	AC	control	N032
SRR32060326	H2_TRUNCATED	106	-29	ENST00000558196.1	77	ENST00000558196	AC	control	N032
SRR32060326	H2_TRUNCATED	146	-67	ENST00000558811.2	79	ENST00000558811	AC	control	N032
SRR32060326	H2_TRUNCATED	242	-47	ENST00000559255.1	195	ENST00000559255	AC	control	N032
SRR32060326	H2_TRUNCATED	77	-59	ENST00000559903.1	18	ENST00000559903	AC	control	N032
SRR32060326	H2_TRUNCATED	38	-26	ENST00000560223.5	12	ENST00000560223	AC	control	N032
SRR32060326	H2_TRUNCATED	179	-168	ENST00000560302.5	11	ENST00000560302	AC	control	N032
SRR32060326	H2_TRUNCATED	343	-110	ENST00000560440.5	233	ENST00000560440	AC	control	N032
SRR32060326	H2_TRUNCATED	100	-21	ENST00000560498.5	79	ENST00000560498	AC	control	N032
SRR32060326	H2_TRUNCATED	63	-11	ENST00000563793.1	52	ENST00000563793	AC	control	N032
SRR32060326	H2_TRUNCATED	125	-29	ENST00000564920.5	96	ENST00000564920	AC	control	N032
SRR32060326	H2_TRUNCATED	252	-156	ENST00000567996.5	96	ENST00000567996	AC	control	N032
SRR32060326	H2_TRUNCATED	373	-214	ENST00000569878.5	159	ENST00000569878	AC	control	N032
SRR32060326	H1_TRUNCATED	77	-153	ENST00000579793.6	230	ENST00000579793	AC	control	N032
SRR32060326	H1_TRUNCATED	30	-47	ENST00000602511.1	77	ENST00000602511	AC	control	N032
SRR32060326	H2_TRUNCATED	54	-47	ENST00000604372.5	7	ENST00000604372	AC	control	N032
SRR32060326	H2_TRUNCATED	50	-39	ENST00000614832.4	11	ENST00000614832	AC	control	N032
SRR32060326	H2_TRUNCATED	96	-91	ENST00000616010.4	5	ENST00000616010	AC	control	N032
SRR32060326	H1_TRUNCATED	10	-69	ENST00000618538.1	79	ENST00000618538	AC	control	N032
SRR32060326	H2_TRUNCATED	25	-14	ENST00000637887.1	11	ENST00000637887	AC	control	N032
SRR32060326	H2_TRUNCATED	99	-25	ENST00000643587.1	74	ENST00000643587	AC	control	N032
SRR32060326	H2_TRUNCATED	72	-46	ENST00000644196.1	26	ENST00000644196	AC	control	N032
SRR32060326	H2_TRUNCATED	27	-25	ENST00000645703.1	2	ENST00000645703	AC	control	N032
SRR32060326	H1_TRUNCATED	44	-36	ENST00000647788.1	80	ENST00000647788	AC	control	N032
SRR32060326	H2_TRUNCATED	80	-20	ENST00000647920.1	60	ENST00000647920	AC	control	N032
SRR32060326	H2_TRUNCATED	60	-25	ENST00000648661.1	35	ENST00000648661	AC	control	N032
SRR32060326	H2_TRUNCATED	68	-66	ENST00000650734.1	2	ENST00000650734	AC	control	N032
SRR32060326	H2_TRUNCATED	51	-37	ENST00000671421.1	14	ENST00000671421	AC	control	N032
SRR32060326	H2_TRUNCATED	40	-18	ENST00000675020.1	22	ENST00000675020	AC	control	N032
SRR32060326	H2_TRUNCATED	69	-21	ENST00000677681.1	48	ENST00000677681	AC	control	N032
SRR32060326	H2_TRUNCATED	79	-13	ENST00000678503.1	66	ENST00000678503	AC	control	N032
SRR32060326	H2_TRUNCATED	792	-627	ENST00000681865.1	165	ENST00000681865	AC	control	N032
SRR32060326	H2_TRUNCATED	47	-25	ENST00000682488.1	22	ENST00000682488	AC	control	N032
SRR32060326	H2_TRUNCATED	1332	-888	ENST00000683961.1	444	ENST00000683961	AC	control	N032
SRR32060326	H2_TRUNCATED	345	-221	ENST00000693150.1	124	ENST00000693150	AC	control	N032
SRR32060326	H2_TRUNCATED	140	-43	ENST00000699575.1	97	ENST00000699575	AC	control	N032
SRR32060326	H2_TRUNCATED	141	-44	ENST00000699576.1	97	ENST00000699576	AC	control	N032
SRR32060326	H1_TRUNCATED	15	-13	ENST00000700495.1	28	ENST00000700495	AC	control	N032
SRR32060326	H2_TRUNCATED	97	-80	ENST00000706660.1	17	ENST00000706660	AC	control	N032
SRR32060326	H2_TRUNCATED	126	-79	ENST00000714455.1	47	ENST00000714455	AC	control	N032
SRR32060336	H2_TRUNCATED	459	-113	ENST00000001008.6	346	ENST00000001008	TOL	chili	N072
SRR32060336	H2_TRUNCATED	155	-111	ENST00000010404.6	44	ENST00000010404	TOL	chili	N072
SRR32060336	H2_TRUNCATED	323	-270	ENST00000081029.8	53	ENST00000081029	TOL	chili	N072
SRR32060336	H2_TRUNCATED	270	-141	ENST00000179259.6	129	ENST00000179259	TOL	chili	N072
SRR32060336	H2_TRUNCATED	258	-255	ENST00000226798.9	3	ENST00000226798	TOL	chili	N072
SRR32060336	H2_TRUNCATED	447	-367	ENST00000228799.7	80	ENST00000228799	TOL	chili	N072
SRR32060336	H2_TRUNCATED	335	-224	ENST00000229239.10	111	ENST00000229239	TOL	chili	N072
SRR32060336	H2_TRUNCATED	138	-97	ENST00000229314.10	41	ENST00000229314	TOL	chili	N072
SRR32060336	H2_TRUNCATED	231	-92	ENST00000256686.10	139	ENST00000256686	TOL	chili	N072
SRR32060336	H2_TRUNCATED	498	-263	ENST00000257745.9	235	ENST00000257745	TOL	chili	N072
SRR32060336	H2_TRUNCATED	177	-26	ENST00000262061.7	151	ENST00000262061	TOL	chili	N072
SRR32060336	H2_TRUNCATED	117	-19	ENST00000266458.10	98	ENST00000266458	TOL	chili	N072
SRR32060336	H1_TRUNCATED	56	-135	ENST00000274629.9	191	ENST00000274629	TOL	chili	N072
SRR32060336	H2_TRUNCATED	191	-71	ENST00000290855.11	120	ENST00000290855	TOL	chili	N072
SRR32060336	H2_TRUNCATED	296	-31	ENST00000297156.4	265	ENST00000297156	TOL	chili	N072
SRR32060336	H2_TRUNCATED	1858	-1623	ENST00000311117.8	235	ENST00000311117	TOL	chili	N072
SRR32060336	H2_TRUNCATED	595	-191	ENST00000318974.14	404	ENST00000318974	TOL	chili	N072
SRR32060336	H2_TRUNCATED	244	-243	ENST00000332160.5	1	ENST00000332160	TOL	chili	N072
SRR32060336	H2_TRUNCATED	865	-630	ENST00000334884.9	235	ENST00000334884	TOL	chili	N072
SRR32060336	H2_TRUNCATED	275	-109	ENST00000339754.11	166	ENST00000339754	TOL	chili	N072
SRR32060336	H2_TRUNCATED	1226	-540	ENST00000349213.7	686	ENST00000349213	TOL	chili	N072
SRR32060336	H2_TRUNCATED	109	-58	ENST00000351500.7	51	ENST00000351500	TOL	chili	N072
SRR32060336	H2_TRUNCATED	275	-86	ENST00000355690.8	189	ENST00000355690	TOL	chili	N072
SRR32060336	H2_TRUNCATED	215	-108	ENST00000360299.10	107	ENST00000360299	TOL	chili	N072
SRR32060336	H2_TRUNCATED	392	-59	ENST00000381352.7	333	ENST00000381352	TOL	chili	N072
