sample	Transcript_ID_clean	Consensus_collapsed	Amyloid_Index_max	AmyloGram_Prob_max	AMYPred_Prob_max	n_protein_variants	gene_id	gene_name	biotype	strict_consensus_amyloid	TPM	strict_TPM_contribution	strict_weighted_positive_contribution
SRR32060215	ENST00000243924	Amyloid	0.5564483150419725	0.830782716450322	0.5465089714249801	1	ENSG00000124102.5	PI3	protein_coding	True	36.509	36.509	20.31537090555354
SRR32060215	ENST00000243997	Amyloid	-0.9810289759751368	0.746645504877434	0.5977178055306082	1	ENSG00000124172.10	ATP5F1E	protein_coding	True	340.38	340.38	0.0
SRR32060215	ENST00000244221	Amyloid	-1.9802232166374787	0.636612179779747	0.8841016397309143	2	ENSG00000124374.9	PAIP2B	protein_coding	True	4.65042	4.65042	0.0
SRR32060215	ENST00000248566	Amyloid	-2.7536334735981938	0.550132449750353	0.9533377435105006	2	ENSG00000127922.10	SEM1	protein_coding	True	24.309	24.309	0.0
SRR32060215	ENST00000250101	Amyloid	-0.13443066804930134	0.633189035817124	0.6733240024489936	1	ENSG00000129235.11	TXNDC17	protein_coding	True	10.362	10.362	0.0
SRR32060215	ENST00000252329	Amyloid	1.2775094383518781	0.862847777128691	0.5816696075262552	2	ENSG00000157778.9	PSMG3	protein_coding	True	8.40455	8.40455	10.73689143742788
SRR32060215	ENST00000254806	Amyloid	-0.5597671604930021	0.780836059694905	0.6296413114464547	1	ENSG00000132471.12	WBP2	protein_coding	True	81.5208	81.5208	0.0
SRR32060215	ENST00000254998	Amyloid	0.26768596633023223	0.786027565225164	0.8584162997289457	1	ENSG00000132661.4	NXT1	protein_coding	True	5.64841	5.64841	1.5120000471717234
SRR32060215	ENST00000257245	Amyloid	-0.3501832075596541	0.722482818740443	0.8741245370157057	2	ENSG00000134809.9	TIMM10	protein_coding	True	13.2282	13.2282	0.0
SRR32060215	ENST00000257247	Amyloid	-0.2689610897726589	0.862681743572924	0.6854375239675228	2	ENSG00000124942.14	AHNAK	protein_coding	True	2.74392	2.74392	0.0
SRR32060215	ENST00000258662	Amyloid	0.1502354923460018	0.691686755367443	0.579013572693149	1	ENSG00000136159.4	NUDT15	protein_coding	True	4.75613	4.75613	0.7145395650389249
SRR32060215	ENST00000259006	Amyloid	-0.8738670020294711	0.621064025328629	0.5136759109373089	1	ENSG00000136490.9	LIMD2	protein_coding	True	73.9878	73.9878	0.0
SRR32060215	ENST00000260276	Amyloid	-0.5780769665015457	0.707308827292189	0.554938374013874	2	ENSG00000137720.8	CFAP68	protein_coding	True	5.69483	5.69483	0.0
SRR32060215	ENST00000261070	Amyloid	-0.566766961134863	0.673101998716649	0.6178361050350184	2	ENSG00000138495.7	COX17	protein_coding	True	19.5217	19.5217	0.0
SRR32060215	ENST00000261267	Amyloid	0.361279530007612	0.674957557612991	0.5456283644036442	1	ENSG00000090382.7	LYZ	protein_coding	True	583.333	583.333	210.74627490042664
SRR32060215	ENST00000261657	Amyloid	-1.059684292051752	0.703807379435325	0.617947227961898	1	ENSG00000038532.17	CLEC16A	protein_coding	True	1.17403	1.17403	0.0
SRR32060215	ENST00000261811	Amyloid	-0.8930940318463243	0.657981114624218	0.6134700878427131	2	ENSG00000120306.11	CYSTM1	protein_coding	True	69.7332	69.7332	0.0
SRR32060215	ENST00000262866	Amyloid	-0.04195193601451765	0.784244431485202	0.5769366648814515	1	ENSG00000101082.14	SLA2	protein_coding	True	23.7035	23.7035	0.0
SRR32060215	ENST00000264474	Amyloid	-0.2960626097949537	0.862681743572924	0.6685202322641398	2	ENSG00000121552.4	CSTA	protein_coding	True	29.2718	29.2718	0.0
SRR32060215	ENST00000266735	Amyloid	-0.4227354516258125	0.766875064746789	0.663220473533706	1	ENSG00000139343.11	SNRPF	protein_coding	True	34.9057	34.9057	0.0
SRR32060215	ENST00000270142	Amyloid	0.0034305797047754715	0.824573289532617	0.9597813833119102	1	ENSG00000142168.15	SOD1	protein_coding	True	86.5904	86.5904	0.29705527125539005
SRR32060215	ENST00000272348	Amyloid	0.2386211851815753	0.793193253174092	0.5343481483218346	2	ENSG00000143977.14	SNRPG	protein_coding	True	31.6531	31.6531	7.553100012380988
SRR32060215	ENST00000272645	Amyloid	-0.636109708983092	0.740004369409724	0.6398900317199431	2	ENSG00000144231.11	POLR2D	protein_coding	True	4.37098	4.37098	0.0
SRR32060215	ENST00000273480	Amyloid	-0.34029036233085386	0.786027565225164	0.5499240799876747	2	ENSG00000114125.14	RNF7	protein_coding	True	8.81899	8.81899	0.0
SRR32060215	ENST00000274507	Amyloid	-0.06155434664917432	0.727479394633026	0.9014590401495384	2	ENSG00000145826.9	LECT2	protein_coding	True	1.59404	1.59404	0.0
SRR32060215	ENST00000274606	Amyloid	0.16365064764399104	0.862681743572924	0.5636678543900019	2	ENSG00000145912.10	NHP2	protein_coding	True	9.29671	9.29671	1.521412614805652
SRR32060215	ENST00000280756	Amyloid	-0.18214460379521746	0.609687171941857	0.8547871620936054	1	ENSG00000151135.10	TMEM263	protein_coding	True	1.1704	1.1704	0.0
SRR32060215	ENST00000281932	Amyloid	-1.3670119723953253	0.713708581581667	0.5281920861283596	2	ENSG00000152133.17	GPATCH11	protein_coding	True	1.68477	1.68477	0.0
SRR32060215	ENST00000281950	Amyloid	-0.04561933597340945	0.862681743572924	0.5920424638139288	2	ENSG00000152147.11	GEMIN6	protein_coding	True	11.112	11.112	0.0
SRR32060215	ENST00000288607	Amyloid	1.2775094383518781	0.862847777128691	0.5816696075262552	2	ENSG00000157778.9	PSMG3	protein_coding	True	2.64809	2.64809	3.3829598226008044
SRR32060215	ENST00000291568	Amyloid	0.004815574380295784	0.574696589069066	0.6701196962675657	1	ENSG00000160213.10	CSTB	protein_coding	True	29.8497	29.8497	0.14374345504708896
SRR32060215	ENST00000296092	Amyloid	-0.47305988959832285	0.694114117502054	0.6863765324271195	2	ENSG00000169981.11	ZNF35	protein_coding	True	1.15282	1.15282	0.0
SRR32060215	ENST00000296288	Amyloid	0.40955697781309397	0.917586033222489	0.912345260508079	2	ENSG00000163930.10	BAP1	protein_coding	True	1.21513	1.21513	0.49766495877937583
SRR32060215	ENST00000296370	Amyloid	0.08952594605516109	0.915677340901845	0.5749807283609976	2	ENSG00000163993.7	S100P	protein_coding	True	156.403	156.403	14.0021265299369
SRR32060215	ENST00000296506	Amyloid	1.0239638094671264	0.812009849410641	0.5401397166244285	2	ENSG00000164106.8	SCRG1	protein_coding	True	6.7788	6.7788	6.94124588255287
SRR32060215	ENST00000299299	Amyloid	0.25191379293625216	0.611455838996947	0.6013402046347041	2	ENSG00000166228.9	PCBD1	protein_coding	True	6.7828	6.7828	1.7086809245065087
SRR32060215	ENST00000302312	Amyloid	-0.33709495825897556	0.917586033222489	0.9028161849812064	1	ENSG00000169877.10	AHSP	protein_coding	True	424.743	424.743	0.0
SRR32060215	ENST00000303142	Amyloid	-0.8707619962313092	0.729776229049829	0.5385392537208126	1	ENSG00000171984.15	SHLD1	protein_coding	True	1.54513	1.54513	0.0
SRR32060215	ENST00000304191	Amyloid	-1.4139282073466914	0.549899818019715	0.9354115592656166	1	ENSG00000169612.4	RAMAC	protein_coding	True	9.89759	9.89759	0.0
SRR32060215	ENST00000304625	Amyloid	0.5686134665097965	0.847317778193838	0.5917256425281933	1	ENSG00000169385.3	RNASE2	protein_coding	True	23.8158	23.8158	13.541984432588576
SRR32060215	ENST00000309579	Amyloid	0.02401576471386311	0.825584291544369	0.51435289060247	2	ENSG00000173915.16	ATP5MK	protein_coding	True	104.743	104.743	2.5154831525441947
SRR32060215	ENST00000310128	Amyloid	0.48007640532445156	0.817073206664234	0.5267445623353687	2	ENSG00000175538.11	KCNE3	protein_coding	True	23.1117	23.1117	11.09538188477359
SRR32060215	ENST00000311534	Amyloid	-1.1783364496023232	0.764326809864775	0.7858982729460106	2	ENSG00000135070.15	ISCA1	protein_coding	True	80.1693	80.1693	0.0
SRR32060215	ENST00000311672	Amyloid	-1.875252037972108	0.636612179779747	0.6536119626746351	2	ENSG00000173660.12	UQCRH	protein_coding	True	45.3412	45.3412	0.0
SRR32060215	ENST00000312655	Amyloid	-0.012028526795925965	0.707606854215044	0.6122944120543593	1	ENSG00000175155.11	YPEL2	protein_coding	True	4.0246	4.0246	0.0
SRR32060215	ENST00000313899	Amyloid	-0.3908777974624953	0.91402468338417	0.6190639032597988	2	ENSG00000138668.20	HNRNPD	protein_coding	True	30.8238	30.8238	0.0
SRR32060215	ENST00000314282	Amyloid	0.09050176669966285	0.833013418489986	0.8366473244143675	2	ENSG00000175581.14	MRPL48	protein_coding	True	2.2158	2.2158	0.2005338188995261
SRR32060215	ENST00000314355	Amyloid	-0.4076064169573483	0.682254230853426	0.550488939146608	2	ENSG00000123975.5	CKS2	protein_coding	True	4.25077	4.25077	0.0
SRR32060215	ENST00000314397	Amyloid	-1.256327312745453	0.862681743572924	0.6820607522443825	2	ENSG00000145912.10	NHP2	protein_coding	True	5.95578	5.95578	0.0
SRR32060215	ENST00000316634	Amyloid	-1.148651024589497	0.687391856932881	0.8326742274745478	1	ENSG00000174446.13	SNAPC5	protein_coding	True	8.35305	8.35305	0.0
SRR32060215	ENST00000318779	Amyloid	-0.29526220974325623	0.799517209914269	0.9519539494029926	2	ENSG00000114861.24	FOXP1	protein_coding	True	2.75244	2.75244	0.0
SRR32060215	ENST00000324489	Amyloid	-1.3227150080769643	0.722482818740443	0.8989979729839378	2	ENSG00000180354.17	MTURN	protein_coding	True	9.31897	9.31897	0.0
SRR32060215	ENST00000324501	Amyloid	0.8364121844633281	0.888048791900172	0.992025019547126	1	ENSG00000080815.20	PSEN1	protein_coding	True	1.26908	1.26908	1.061474010889824
SRR32060215	ENST00000325881	Amyloid	-0.33358414550897597	0.827558921857296	0.5257574694240309	1	ENSG00000157734.14	SNX22	protein_coding	True	20.3647	20.3647	0.0
SRR32060215	ENST00000326005	Amyloid	0.09363975177135568	0.833013418489986	0.5216260591876047	1	ENSG00000180304.14	OAZ2	protein_coding	True	6.997	6.997	0.6551973635049921
SRR32060215	ENST00000326044	Amyloid	-0.6842973418753692	0.735726910638359	0.6335710903287054	1	ENSG00000171469.11	ZNF561	protein_coding	True	1.0638	1.0638	0.0
SRR32060215	ENST00000329099	Amyloid	0.3453421115322094	0.69201029473832	0.6578680318632325	1	ENSG00000183688.4	RFLNB	protein_coding	True	32.3131	32.3131	11.15907380685506
SRR32060215	ENST00000329559	Amyloid	0.2979456946829938	0.701484638091527	0.6708316444518068	1	ENSG00000183648.11	NDUFB1	protein_coding	True	4.21704	4.21704	1.2564489307639117
SRR32060215	ENST00000330137	Amyloid	-0.0009263586791374845	0.85645464512788	0.666256309776075	1	ENSG00000182628.13	SKA2	protein_coding	True	3.59019	3.59019	0.0
SRR32060215	ENST00000330386	Amyloid	-0.43948252795715226	0.706865076287494	0.6370804053293044	1	ENSG00000183495.15	EP400	protein_coding	True	2.17618	2.17618	0.0
SRR32060215	ENST00000331334	Amyloid	0.4587518944860959	0.753803859983088	0.7374980250256153	1	ENSG00000182512.5	GLRX5	protein_coding	True	308.484	308.484	141.51762345064787
SRR32060215	ENST00000331758	Amyloid	-0.20278213637134157	0.674746561104759	0.9571150182198104	1	ENSG00000184402.15	SS18L1	protein_coding	True	1.3	1.3	0.0
SRR32060215	ENST00000333130	Amyloid	-0.6871304237289654	0.718141509972924	0.638292203191972	1	ENSG00000185608.9	MRPL40	protein_coding	True	4.87864	4.87864	0.0
SRR32060215	ENST00000333305	Amyloid	0.04383035836701824	0.85645464512788	0.8416992024100896	2	ENSG00000182700.5	IGIP	protein_coding	True	1.08847	1.08847	0.04770802938925446
SRR32060215	ENST00000333610	Amyloid	-0.6200440515727565	0.670577405456601	0.6872451462575652	2	ENSG00000183891.6	TTC32	protein_coding	True	9.55565	9.55565	0.0
SRR32060215	ENST00000334351	Amyloid	-1.5207772372153523	0.666739442601968	0.6253680707322518	2	ENSG00000189266.13	PNRC2	protein_coding	True	7.54405	7.54405	0.0
SRR32060215	ENST00000336375	Amyloid	0.597055209681877	0.887343189413105	0.9948709485456086	2	ENSG00000014257.17	ACP3	protein_coding	True	2.08994	2.08994	1.247809607376724
SRR32060215	ENST00000336904	Amyloid	-0.6821116338690736	0.827558921857296	0.9933212493459682	2	ENSG00000145335.17	SNCA	protein_coding	True	6.70024	6.70024	0.0
SRR32060215	ENST00000337881	Amyloid	-0.6880135800015665	0.749934370139664	0.7804647029367415	2	ENSG00000171476.23	HOPX	protein_coding	True	6.98911	6.98911	0.0
SRR32060215	ENST00000339121	Amyloid	-1.1898307876996004	0.625803450055326	0.675770511772189	2	ENSG00000071243.16	ING3	protein_coding	True	15.3408	15.3408	0.0
SRR32060215	ENST00000339399	Amyloid	-1.9636106040756256	0.821551440460204	0.6897075123991884	2	ENSG00000136938.9	ANP32B	protein_coding	True	463.161	463.161	0.0
SRR32060215	ENST00000339468	Amyloid	-0.016817119919557078	0.707606854215044	0.5860997579976588	1	ENSG00000100027.17	YPEL1	protein_coding	True	11.1079	11.1079	0.0
SRR32060215	ENST00000339834	Amyloid	0.3775402817135618	0.743745498553734	0.6791387854720258	2	ENSG00000166275.16	BORCS7	protein_coding	True	13.1271	13.1271	4.956009028625613
SRR32060215	ENST00000340623	Amyloid	-0.6757481339155738	0.862681743572924	0.8221531550398993	2	ENSG00000187699.10	C2orf88	protein_coding	True	3.79378	3.79378	0.0
SRR32060215	ENST00000341322	Amyloid	0.2295002371704138	0.862681743572924	0.7231718174951075	1	ENSG00000185658.14	BRWD1	protein_coding	True	1.35105	1.35105	0.3100662998502309
SRR32060215	ENST00000343290	Amyloid	-1.6903453428050845	0.666739442601968	0.6257635651463452	2	ENSG00000153827.15	TRIP12	protein_coding	True	5.92435	5.92435	0.0
SRR32060215	ENST00000343318	Amyloid	0.5776209538807842	0.707606854215044	0.6922343343890038	2	ENSG00000240720.10	LRRD1	protein_coding	True	4.79872	4.79872	2.771841156204979
SRR32060215	ENST00000345009	Amyloid	-0.056515245705998904	0.827558921857296	0.9796418049858332	2	ENSG00000145335.17	SNCA	protein_coding	True	438.109	438.109	0.0
SRR32060215	ENST00000345117	Amyloid	-0.7913766264611963	0.737103631375019	0.5719225140389235	2	ENSG00000131931.8	THAP1	protein_coding	True	2.28686	2.28686	0.0
SRR32060215	ENST00000347067	Amyloid	0.4538409535300897	0.602971647054364	0.5526525448206902	1	ENSG00000184990.13	SIVA1	protein_coding	True	26.3734	26.3734	11.969328883334365
SRR32060215	ENST00000348419	Amyloid	0.27887237495561434	0.711403832067427	0.6317754800601012	1	ENSG00000064666.15	CNN2	protein_coding	True	21.2982	21.2982	5.939479785638804
SRR32060215	ENST00000349807	Amyloid	1.2659005124379952	0.79439078295976	0.5497645615413239	2	ENSG00000172005.11	MAL	protein_coding	True	57.7874	57.7874	73.15309837619195
SRR32060215	ENST00000352301	Amyloid	-0.4191611519122954	0.91402468338417	0.6153694780865104	2	ENSG00000138668.20	HNRNPD	protein_coding	True	4.88485	4.88485	0.0
SRR32060215	ENST00000354855	Amyloid	1.093587748874085	0.866119263999545	0.7081206243060237	2	ENSG00000150045.12	KLRF1	protein_coding	True	6.24145	6.24145	6.825573072489427
SRR32060215	ENST00000355028	Amyloid	0.19232471682982935	0.83488134871516	0.7141012695907797	1	ENSG00000099968.19	BCL2L13	protein_coding	True	3.86192	3.86192	0.7427426931776054
SRR32060215	ENST00000355178	Amyloid	-0.1426072958044807	0.654519086330542	0.7303706248362951	2	ENSG00000152348.16	ATG10	protein_coding	True	1.60078	1.60078	0.0
SRR32060215	ENST00000355693	Amyloid	-0.8367284118549596	0.511723578041126	0.8150523446537551	2	ENSG00000181924.8	COA4	protein_coding	True	10.1062	10.1062	0.0
SRR32060215	ENST00000355705	Amyloid	0.7518910653151467	0.812990860049966	0.5101356152213434	2	ENSG00000183281.15	PLGLB1	protein_coding	True	5.26994	5.26994	3.9624207251401824
SRR32060215	ENST00000355801	Amyloid	0.3789319252554213	0.740004369409724	0.6612250815590629	1	ENSG00000188243.14	COMMD6	protein_coding	True	5.07723	5.07723	1.9239245300180579
SRR32060215	ENST00000355857	Amyloid	-0.44017486541996825	0.523182183999989	0.8743302640533133	2	ENSG00000155368.18	DBI	protein_coding	True	21.7187	21.7187	0.0
SRR32060215	ENST00000356442	Amyloid	-2.0297494081976324	0.636612179779747	0.743496291567285	2	ENSG00000115216.14	NRBP1	protein_coding	True	14.8118	14.8118	0.0
SRR32060215	ENST00000356692	Amyloid	-1.0165773968153422	0.665628490992486	0.5393701570480084	2	ENSG00000163605.16	PPP4R2	protein_coding	True	6.70344	6.70344	0.0
SRR32060215	ENST00000356785	Amyloid	-1.0512566740263452	0.67737589572572	0.708811324920098	2	ENSG00000077420.17	APBB1IP	protein_coding	True	2.37784	2.37784	0.0
SRR32060215	ENST00000356815	Amyloid	0.9934753723037837	0.768662604389186	0.5438432598719517	1	ENSG00000206177.7	HBM	protein_coding	True	118.464	118.464	117.69106341211227
SRR32060215	ENST00000356986	Amyloid	0.7184786704952012	0.898761459497277	0.5388414129542267	2	ENSG00000139187.10	KLRG1	protein_coding	True	23.7112	23.7112	17.03599196491957
SRR32060215	ENST00000358344	Amyloid	-0.4885179294767566	0.91402468338417	0.5397050966153835	2	ENSG00000197451.12	HNRNPAB	protein_coding	True	8.18024	8.18024	0.0
SRR32060215	ENST00000358472	Amyloid	-0.7936738943608156	0.790586695951606	0.5526194637573059	1	ENSG00000176371.14	ZSCAN2	protein_coding	True	2.8242	2.8242	0.0
SRR32060215	ENST00000360515	Amyloid	-0.1940867393956392	0.649473251117459	0.6887869682473468	2	ENSG00000158985.14	CDC42SE2	protein_coding	True	22.9487	22.9487	0.0
SRR32060215	ENST00000361871	Amyloid	-0.515878493295501	0.64867756919729	0.7235740098827513	1	ENSG00000198736.13	MSRB1	protein_coding	True	75.2275	75.2275	0.0
SRR32060215	ENST00000362052	Amyloid	-0.2710330380426688	0.889817000611829	0.7363122374028616	2	ENSG00000143420.19	ENSA	protein_coding	True	2.73934	2.73934	0.0
SRR32060215	ENST00000366089	Amyloid	1.0093863474331755	0.713274056890474	0.8268086960823123	2	ENSG00000138468.16	SENP7	protein_coding	True	40.589	40.589	40.96998316445777
SRR32060215	ENST00000366118	Amyloid	-0.1101462003120663	0.654519086330542	0.6538154541813851	2	ENSG00000196141.14	SPATS2L	protein_coding	True	42.8954	42.8954	0.0
SRR32060215	ENST00000366170	Amyloid	-0.002824259544430263	0.888048791900172	0.6052223939296317	1	ENSG00000189068.11	VSTM1	protein_coding	True	21.4267	21.4267	0.0
SRR32060215	ENST00000366394	Amyloid	0.8837054125158799	0.810156395859043	0.7613878460349442	2	ENSG00000137497.19	NUMA1	protein_coding	True	1.30336	1.30336	1.1517862735117936
SRR32060215	ENST00000366466	Amyloid	-1.132101202032058	0.665474674085205	0.5103394915752816	2	ENSG00000165264.11	NDUFB6	protein_coding	True	2.87611	2.87611	0.0
SRR32060215	ENST00000366839	Amyloid	0.8105652217813774	0.807415326438268	0.7071577244239183	2	ENSG00000143742.14	SRP9	protein_coding	True	1.98109	1.98109	1.605802614372744
SRR32060215	ENST00000367023	Amyloid	-0.12935543085529128	0.62423353437317	0.7169831432484542	2	ENSG00000009790.15	TRAF3IP3	protein_coding	True	51.3061	51.3061	0.0
SRR32060215	ENST00000367089	Amyloid	0.2858581993270669	0.643062828743007	0.7688239383261716	2	ENSG00000146425.11	DYNLT1	protein_coding	True	33.3818	33.3818	9.5424616971629
SRR32060215	ENST00000367113	Amyloid	0.03274493143904662	0.812990860049966	0.6496291169070464	2	ENSG00000078269.15	SYNJ2	protein_coding	True	3.35555	3.35555	0.1098772563516225
SRR32060215	ENST00000367446	Amyloid	0.5993953202417138	0.890172148170267	0.991847188291556	2	ENSG00000116747.13	RO60	protein_coding	True	12.6341	12.6341	7.572820391686115
SRR32060215	ENST00000367525	Amyloid	-0.5069598952861725	0.520214937728607	0.6527231123686646	2	ENSG00000152818.20	UTRN	protein_coding	True	1.16617	1.16617	0.0
SRR32060215	ENST00000367569	Amyloid	-0.23078622778363345	0.771092350768141	0.7586089430699656	2	ENSG00000169976.7	SF3B5	protein_coding	True	27.076	27.076	0.0
SRR32060215	ENST00000367651	Amyloid	-0.02399837856267841	0.753803859983088	0.5767097535008049	2	ENSG00000164442.11	CITED2	protein_coding	True	10.9619	10.9619	0.0
SRR32060215	ENST00000368388	Amyloid	-0.5725688777215369	0.55328311558416	0.5523862938560801	2	ENSG00000111907.21	TPD52L1	protein_coding	True	1.62264	1.62264	0.0
SRR32060215	ENST00000368733	Amyloid	0.8448034804197435	0.776750258626404	0.9940384378703726	2	ENSG00000143546.10	S100A8	protein_coding	True	3712.65	3712.65	3136.459559080021
SRR32060215	ENST00000368737	Amyloid	0.6466713155318804	0.724622698412263	0.5626000818106853	2	ENSG00000163221.9	S100A12	protein_coding	True	108.462	108.462	70.13926292271921
SRR32060215	ENST00000368738	Amyloid	-0.3458031582868243	0.549899818019715	0.9943677382199922	2	ENSG00000163220.11	S100A9	protein_coding	True	3102.0	3102.0	0.0
SRR32060215	ENST00000368921	Amyloid	-0.7568685916788997	0.779372326457402	0.8362663043908156	2	ENSG00000213190.4	MLLT11	protein_coding	True	5.38029	5.38029	0.0
SRR32060215	ENST00000368959	Amyloid	0.8204421478505761	0.810156395859043	0.7003999977837356	2	ENSG00000137497.19	NUMA1	protein_coding	True	1.41138	1.41138	1.1579556817611416
SRR32060215	ENST00000369093	Amyloid	0.17593613417413229	0.850755764881348	0.7237707807338676	2	ENSG00000151923.18	TIAL1	protein_coding	True	12.9542	12.9542	2.279111832539903
SRR32060215	ENST00000369115	Amyloid	-4.608173127135965	0.688199172443865	0.743839111233826	2	ENSG00000143401.15	ANP32E	protein_coding	True	33.1977	33.1977	0.0
SRR32060215	ENST00000369347	Amyloid	-0.45262237208928935	0.677038105731086	0.652797944981519	2	ENSG00000178104.22	PDE4DIP	protein_coding	True	1.4173	1.4173	0.0
SRR32060215	ENST00000369484	Amyloid	-0.5904992194301069	0.579920825867788	0.6067390129152456	1	ENSG00000182712.16	CMC4	protein_coding	True	1.08348	1.08348	0.0
SRR32060215	ENST00000370022	Amyloid	0.2640608831928091	0.699989305953233	0.582373643419422	2	ENSG00000134186.12	PRPF38B	protein_coding	True	13.7742	13.7742	3.637227533316772
SRR32060215	ENST00000370645	Amyloid	-0.6085131561034549	0.547087037757564	0.6620483159197078	2	ENSG00000174021.12	GNG5	protein_coding	True	44.8595	44.8595	0.0
SRR32060215	ENST00000370913	Amyloid	0.3283190886686823	0.792229644060969	0.5993127662176604	2	ENSG00000012660.14	ELOVL5	protein_coding	True	2.75449	2.75449	0.9043516132822473
SRR32060215	ENST00000371081	Amyloid	-0.45776526171321485	0.621522886360849	0.5682063579602263	1	ENSG00000087460.29	GNAS	protein_coding	True	6.51681	6.51681	0.0
SRR32060215	ENST00000371657	Amyloid	-0.1563673017003809	0.727479394633026	0.7574512657606792	1	ENSG00000244687.13	UBE2V1	protein_coding	True	45.4304	45.4304	0.0
SRR32060215	ENST00000372571	Amyloid	-0.31122091918616057	0.780836059694905	0.674266246527767	2	ENSG00000198815.9	FOXJ3	protein_coding	True	2.60589	2.60589	0.0
SRR32060215	ENST00000372853	Amyloid	0.2256920433176477	0.872048470358231	0.5741460091632954	2	ENSG00000167118.11	URM1	protein_coding	True	15.166	15.166	3.4228456116063395
SRR32060215	ENST00000372898	Amyloid	-0.313042251952013	0.516957666242231	0.5464573871135843	2	ENSG00000175854.15	SWI5	protein_coding	True	4.43143	4.43143	0.0
SRR32060215	ENST00000373212	Amyloid	-0.3799431744765926	0.792229644060969	0.5938899804247262	1	ENSG00000131171.13	SH3BGRL	protein_coding	True	45.3054	45.3054	0.0
SRR32060215	ENST00000373335	Amyloid	-0.2663029925045904	0.664148584604848	0.5305936065742405	1	ENSG00000131174.7	COX7B	protein_coding	True	7.33473	7.33473	0.0
SRR32060215	ENST00000374213	Amyloid	1.2098873366614955	0.820582856339987	0.630628923795639	2	ENSG00000169442.9	CD52	protein_coding	True	302.594	302.594	366.10464166056494
SRR32060215	ENST00000374231	Amyloid	-0.3883349357060822	0.614209276612945	0.7569729534617586	2	ENSG00000137288.10	UQCC2	protein_coding	True	12.0078	12.0078	0.0
SRR32060215	ENST00000374293	Amyloid	0.323639318020078	0.684846934902368	0.5252862869661321	2	ENSG00000242616.4	GNG10	protein_coding	True	5.2319	5.2319	1.6932486175798978
SRR32060215	ENST00000374468	Amyloid	-1.5207772372153523	0.666739442601968	0.6253680707322518	2	ENSG00000189266.13	PNRC2	protein_coding	True	21.2783	21.2783	0.0
SRR32060215	ENST00000374515	Amyloid	-0.01383524809663943	0.739587806780845	0.597622807472244	2	ENSG00000136810.13	TXN	protein_coding	True	9.96454	9.96454	0.0
SRR32060215	ENST00000374517	Amyloid	-0.2961829125551664	0.771030758649955	0.7586872266223884	2	ENSG00000136810.13	TXN	protein_coding	True	34.7563	34.7563	0.0
SRR32060215	ENST00000374524	Amyloid	-0.16849087532081106	0.69516726685566	0.7729808005125476	2	ENSG00000057757.10	PITHD1	protein_coding	True	87.1691	87.1691	0.0
